WELL_NAME,UWI,BHI,COUNTRY,BASIN_NAME,OPERATOR,CLASS,Petrel Well Symbol,TCH_STAT,CONTENT,GEN_STATUS,SPUD_DT_YR,LTCOMP_DT,GRP_NAME,OP_ACRONYM,CONTRACT,BLOCK_NAME,FIELD_NAME,D_REF_TYPE,ELEV_REF_M,TD_M,DEV_TYPE,BLK_OP_ACR,TECH_STAT,GN_CONT,SPUD_DT_TX,WEL_ID,ALT_WNAME,W84_LAT_DG,W84_LON_DG,POINT_X,POINT_Y
Dugo Selo Istok 1,HR00385571,HR0038557100,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Outpost,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1981,3/23/1981,INA,INA,,,Dugo Selo,KB,116.00,2462.50,Vertical,,Abandoned,Dry/Shows,21 January 1981,100000109703,DsI-1,45.82084500000,16.26303500000,481590.26,5075698.94
Ernestinevo 1,HR00385573,HR0038557300,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,41,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1975,8/29/1975,INA,INA,,,Ernestinevo-2,KB,86.00,2573.00,,,Abandoned,Dry/Shows,01 August 1975,100000592990,Ern-1,45.44124200000,18.67127900000,669865.47,5035779.08
Farkasevac 1,HR00388363,HR0038836300,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1964,10/13/1964,INA,INA,,,,KB,133.00,846.00,,,Abandoned,Dry/Shows,01 October 1964,100000592991,Fa-1,45.88450800000,16.65368000000,511931.77,5082758.45
Glavnicica 01,HR00381404,HR0038140400,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1952,1/23/1953,INA,INA,,,,KB,123.00,1288.20,,,Abandoned,Dry/Shows,01 December 1952,100000593035,Gl-1,45.85337300000,16.22012800000,478268.84,5079324.79
Glavnicica 02,HR00385606,HR0038560600,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1953,6/6/1953,INA,INA,,,,KB,135.00,1540.00,,,Abandoned,Dry/Shows,03 April 1953,100000593036,Gl-2,45.81550700000,16.25103700000,480656.11,5075108.53
Glavnicica 09,HR00388381,HR0038838100,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,Development,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1956,10/28/1956,INA,INA,,,Dugo Selo,KB,141.00,1391.30,,,Abandoned,Dry/Shows,05 September 1956,100000593043,Gl-9,45.81702100000,16.24907900000,480504.47,5075277.26
Gospodica 1,HR00385691,HR0038569100,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1967,8/2/1967,INA,INA,,,,,0.00,0.00,Vertical,,Abandoned,Dry/Shows,09 June 1967,100000109698,Gos-1,45.57728500000,16.39837100000,492072.20,5048608.78
Gospodica 3,HR00385694,HR0038569400,Croatia,Sava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,26,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1978,8/10/1978,INA,INA,,,,,0.00,0.00,Vertical,,Abandoned,Dry/Shows,23 June 1978,100000109700,Gos-3,45.57422900000,16.37254100000,490055.81,5048272.04
Hlebine 1,HR00388407,HR0038840700,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,40,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1964,1/25/1965,INA,INA,,,,KB,125.00,2837.70,,,Abandoned,Dry/Shows,20 October 1964,100000593151,Hle-1,46.11292600000,16.94682600000,534542.32,5108230.45
Hlebine 2,HR00388408,HR0038840800,Croatia,Drava Sub-basin (Pannonian Basin),INA-Naftaplin Zagreb,New-field wildcat,40,Plugged & abandoned,Oil,P&A/Susp Dry/Shows,1973,12/8/1973,INA,INA,,,,KB,126.00,2650.00,,,Abandoned,Dry/Shows,22 October 1973,100000593152,Hle-2,46.12352100000,16.93000100000,533235.42,5109400.83
